sku,nombre,marca,categoria,precio_venta,precio_regular,tiene_precio_oh,descuento_pct,url_producto,url_imagen,fecha_extraccion
galletas-soda-field-bolsa-6un,Galletas Saladas FIELD Soda Paquete 6un,FIELD,abarrotes,3.5,3.9,False,10.26,https://www.plazavea.com.pe/galletas-soda-field-bolsa-6un/p,https://vivanda.vteximg.com.br/arquivos/Alto_sodio.png?v=123,2026-09-16 21:08:39
gomas-ambrosoli-cerebros-bolsa-250g,Gomas AMBROSOLI Cerebros Bolsa 250g,AMBROSOLI,abarrotes,14.5,14.5,False,0.0,https://www.plazavea.com.pe/gomas-ambrosoli-cerebros-bolsa-250g/p,https://plazavea.vteximg.com.br/arquivos/ids/32481785-184-184/20564656.jpg?v=638954682668300000,2026-09-16 21:08:39
galleta-chokosoda-field-paquete-6un,Galletas FIELD ChokoSoda Paquete 6un,FIELD,abarrotes,6.3,7.2,False,12.5,https://www.plazavea.com.pe/galleta-chokosoda-field-paquete-6un/p,https://vivanda.vteximg.com.br/arquivos/azucar_saturadas.png?v=123,2026-09-16 21:08:39
galleta-vainilla-field-paquete-6un,Galletas FIELD Vainilla Paquete 6un,FIELD,abarrotes,4.8,5.5,False,12.73,https://www.plazavea.com.pe/galleta-vainilla-field-paquete-6un/p,https://vivanda.vteximg.com.br/arquivos/Alto_azucar.png?v=123,2026-09-16 21:08:39
chupetin-de-halloween-mister-pops-extreme-duo-bolsa-432g,Chupetín de Halloween MISTER POPS Extreme Duo ...,MISTER POPS,abarrotes,10.8,10.8,False,0.0,https://www.plazavea.com.pe/chupetin-de-halloween-mister-pops-extreme-duo-bolsa-432g/p,https://plazavea.vteximg.com.br/arquivos/ids/29519855-184-184/20462432.jpg?v=638623201724470000,2026-09-16 21:08:39
chupetines-mister-pops-ciclopops-halloween-bolsa-432g,Chupetines MISTER POPS Ciclopops Halloween Bol...,MISTER POPS,abarrotes,10.8,10.8,False,0.0,https://www.plazavea.com.pe/chupetines-mister-pops-ciclopops-halloween-bolsa-432g/p,https://vivanda.vteximg.com.br/arquivos/Alto_azucar.png?v=123,2026-09-16 21:08:39
conserva-bells-palmitos-enteros-en-salmuera-frasco-430gr,Conserva BELL'S Palmitos Enteros en Salmuera F...,BELL'S,abarrotes,7.69,7.69,False,0.0,https://www.plazavea.com.pe/conserva-bells-palmitos-enteros-en-salmuera-frasco-430gr/p,https://plazavea.vteximg.com.br/arquivos/ids/34330615-184-184/20081176.jpg?v=639124899345230000,2026-09-16 21:08:39
aceite-vegetal-primor-clasico-botella-900ml,Aceite Vegetal PRIMOR Clásico Botella 900ml,PRIMOR,abarrotes,8.5,9.7,True,12.37,https://www.plazavea.com.pe/aceite-vegetal-primor-clasico-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/30632030-184-184/20281566.jpg?v=638758944609130000,2026-09-16 21:08:39
galletas-field-cream-crakers-bolsa-73-5g,Galletas Saladas FIELD Cream Cracker Paquete 7...,FIELD,abarrotes,2.1,2.5,False,16.0,https://www.plazavea.com.pe/galletas-field-cream-crakers-bolsa-73-5g/p,https://plazavea.vteximg.com.br/arquivos/ids/30364815-184-184/20353012.jpg?v=638710561194470000,2026-09-16 21:08:39
galletas-field-coronita-sixpack-paquete-216g,Galletas FIELD Coronita Paquete 6un,FIELD,abarrotes,5.3,5.3,False,0.0,https://www.plazavea.com.pe/galletas-field-coronita-sixpack-paquete-216g/p,https://vivanda.vteximg.com.br/arquivos/azucar_saturadas.png?v=123,2026-09-16 21:08:39
